"HAULJOIN","VESSEL","CRUISE","HAUL","STATIONID","GEAR","HAUL_TYPE","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
-23934,162,202401,229,"61-15",172,20,68560,2,NA,54.9,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,47.2,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,50.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,48,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,65.5,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,52,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,59.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,62.5,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,65.7,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,63.5,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68560,2,NA,68.4,2,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,1,NA,58.9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,1,NA,52,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
-23934,162,202401,229,"61-15",172,20,68580,1,NA,40.4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
