HAULJOIN,VESSEL,CRUISE,HAUL
937405,88,199801,13
937406,88,199801,14
937380,88,199801,15
937386,88,199801,21
937387,88,199801,22
937388,88,199801,23
937389,88,199801,24
937390,88,199801,25
937370,88,199801,31
937371,88,199801,32
937373,88,199801,34
937374,88,199801,35
937339,88,199801,79
937312,88,199801,104
937296,88,199801,114
937301,88,199801,119
937284,88,199801,128
937263,88,199801,133
937236,88,199801,141
937217,88,199801,145
937246,88,199801,150
937411,89,199801,5
937412,89,199801,6
937413,89,199801,7
937414,89,199801,8
937415,89,199801,9
937417,89,199801,11
937418,89,199801,12
937419,89,199801,13
937425,89,199801,19
937426,89,199801,20
937427,89,199801,21
937428,89,199801,22
937429,89,199801,23
937430,89,199801,24
937465,89,199801,59
937480,89,199801,74
937485,89,199801,79
937552,89,199801,146
937561,89,199801,155
937571,89,199801,165
