"HAULJOIN","SPECIES_CODE","SPECIES","SEX","SIZE","SIZE_1MM","SHELL_CONDITION","EGG_CONDITION","CLUTCH_SIZE","MERUS_LENGTH","CHELA_HEIGHT","DISEASE_CODE","CALCULATED_WEIGHT","CALCULATED_WEIGHT_1MM","WEIGHT","SAMPLING_FACTOR"
821836,68560,"TANNER",1,125,125,5,NA,NA,NA,NA,NA,586.822570483512,586.822570483512,NA,1
821836,68560,"TANNER",1,110,110,5,NA,NA,NA,NA,NA,398.773238522713,398.773238522713,NA,1
821836,68560,"TANNER",1,115,115,5,NA,NA,NA,NA,NA,456.109135836246,456.109135836246,NA,1
821836,68560,"TANNER",1,108,108,5,NA,NA,NA,NA,NA,377.261799561032,377.261799561032,NA,1
821836,68560,"TANNER",1,81,81,3,NA,NA,NA,NA,NA,158.147098431057,158.147098431057,NA,1
821836,68560,"TANNER",1,50,50,2,NA,NA,NA,NA,NA,36.8026235414396,36.8026235414396,NA,1
821836,68560,"TANNER",1,46,46,2,NA,NA,NA,NA,NA,28.6049202336609,28.6049202336609,NA,1
821836,68560,"TANNER",2,92,92,5,1,4,NA,NA,NA,217.191523430369,217.191523430369,NA,1
821836,68560,"TANNER",2,84,84,5,1,3,NA,NA,NA,166.847620011365,166.847620011365,NA,1
821836,68560,"TANNER",2,82,82,5,1,6,NA,NA,NA,155.59083445181,155.59083445181,NA,1
821836,68560,"TANNER",2,75,75,5,1,5,NA,NA,NA,120.130261598184,120.130261598184,NA,1
821836,68580,"SNOW",1,85,85,4,NA,NA,NA,NA,NA,252.586315169063,252.586315169063,NA,1
821836,68580,"SNOW",1,71,71,4,NA,NA,NA,NA,NA,144.652763741078,144.652763741078,NA,1
821836,68580,"SNOW",1,60,60,4,NA,NA,NA,NA,NA,85.8806961290526,85.8806961290526,NA,1
821836,68580,"SNOW",1,80,80,4,NA,NA,NA,NA,NA,209.344922966998,209.344922966998,NA,1
821836,68580,"SNOW",1,72,72,4,NA,NA,NA,NA,NA,151.056670473612,151.056670473612,NA,1
821836,68580,"SNOW",1,65,65,1,NA,NA,NA,NA,NA,110.043043663286,110.043043663286,NA,1
821836,68580,"SNOW",1,87,87,2,NA,NA,NA,NA,NA,271.452024566283,271.452024566283,NA,1
