TOW_BLOCK,TOW_PAIR,EXPERIMENTAL_TOW_TYPE,CRUISE,VESSEL,HAUL,TOW_TYPE
1,1,2,199801,88,12,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
1,1,3,199801,88,401,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
1,1,4,199801,89,401,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
1,1,5,199801,89,402,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
2,2,2,199801,89,5,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
2,2,4,199801,88,402,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
2,2,3,199801,89,403,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
2,2,5,199801,88,403,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
3,42,2,199801,88,13,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
3,42,3,199801,88,404,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
3,3,4,199801,89,404,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
3,3,5,199801,89,405,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
4,43,2,199801,89,6,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
4,4,4,199801,88,405,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
4,43,3,199801,89,406,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
4,4,5,199801,88,406,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
5,44,2,199801,88,14,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
5,44,3,199801,88,407,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
5,5,4,199801,89,407,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
5,5,5,199801,89,408,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
6,45,2,199801,89,7,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
6,6,4,199801,88,408,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
6,45,3,199801,89,409,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
6,6,5,199801,88,409,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
7,46,2,199801,88,15,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
7,46,3,199801,88,410,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
7,7,5,199801,89,410,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
7,7,4,199801,89,411,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
8,47,2,199801,89,8,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
8,8,4,199801,88,411,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
8,47,3,199801,89,412,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
8,8,5,199801,88,412,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
9,9,2,199801,89,9,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
9,9,2,199801,88,16,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
9,9,3,199801,88,413,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
9,9,3,199801,89,413,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
10,48,4,199801,88,414,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
10,10,5,199801,89,414,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
10,10,4,199801,89,415,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
10,48,5,199801,88,415,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
11,11,2,199801,89,10,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
11,11,3,199801,89,416,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
11,11,4,199801,88,416,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
11,11,5,199801,88,417,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
12,49,2,199801,88,21,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
12,12,5,199801,89,417,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
12,49,3,199801,88,418,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
12,12,4,199801,89,418,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
13,50,2,199801,89,11,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
13,50,3,199801,89,419,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
13,13,4,199801,88,419,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
13,13,5,199801,88,420,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
14,51,2,199801,88,22,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
14,14,5,199801,89,420,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
14,51,3,199801,88,421,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
14,14,4,199801,89,421,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
15,52,2,199801,89,12,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
15,52,3,199801,89,422,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
15,15,4,199801,88,422,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
15,15,5,199801,88,423,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
16,53,2,199801,88,23,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
16,16,5,199801,89,423,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
16,53,3,199801,88,424,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
16,16,4,199801,89,424,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
17,54,2,199801,89,13,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
17,54,3,199801,89,425,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
17,17,4,199801,88,425,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
17,17,5,199801,88,426,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
18,55,2,199801,88,24,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
18,18,5,199801,89,426,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
18,55,3,199801,88,427,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
18,18,4,199801,89,427,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
19,56,4,199801,88,428,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
19,19,5,199801,89,428,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
19,19,4,199801,89,429,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
19,56,5,199801,88,429,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
20,20,2,199801,89,19,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
20,57,2,199801,88,25,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
20,57,3,199801,88,430,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
20,20,3,199801,89,430,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
21,58,2,199801,88,31,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
21,58,3,199801,88,431,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
21,21,5,199801,89,431,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
21,21,4,199801,89,432,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
22,59,2,199801,89,20,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
22,22,4,199801,88,432,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
22,59,3,199801,89,433,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
22,22,5,199801,88,434,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
23,60,2,199801,88,32,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
23,23,5,199801,89,434,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
