"HAULJOIN","VESSEL","CRUISE","HAUL","STATIONID","GEAR","HAUL_TYPE"
-23173,134,202401,22,"I-14",44,3
-23165,162,202401,23,"I-14",44,20
-23175,134,202401,24,"G-14",44,3
-23167,162,202401,25,"G-14",44,20
-23226,134,202401,40,"H-09",44,3
-23218,162,202401,45,"H-09",44,20
-23675,134,202401,144,"N-22",44,3
-23705,162,202401,152,"N-22",44,20
-23677,134,202401,146,"O-23",44,3
-23697,162,202401,154,"O-23",44,20
-23727,134,202401,158,"U-27",44,3
-23731,162,202401,169,"U-27",44,20
-23728,134,202401,159,"V-27",44,3
-23732,162,202401,170,"V-27",44,20
-23888,134,202401,199,"G-24",44,3
-23891,162,202401,209,"G-24",44,20
-23164,162,202401,22,"J-14",44,3
-23172,134,202401,21,"J-14",44,20
-23166,162,202401,24,"H-14",44,3
-23174,134,202401,23,"H-14",44,20
-23185,162,202401,28,"G-12",44,3
-23181,134,202401,28,"G-12",44,20
-23186,162,202401,29,"H-12",44,3
-23182,134,202401,29,"H-12",44,20
-23217,162,202401,44,"G-09",44,3
-23225,134,202401,39,"G-09",44,20
-23695,162,202401,153,"O-22",44,3
-23676,134,202401,145,"O-22",44,20
-23706,162,202401,155,"P-23",44,3
-23678,134,202401,147,"P-23",44,20
-23733,162,202401,171,"V-28",44,3
-23729,134,202401,160,"V-28",44,20
-23734,162,202401,172,"U-28",44,3
-23730,134,202401,161,"U-28",44,20
-23984,162,202401,254,"B-02",44,20
-23985,162,202401,255,"B-02",44,20
-23981,134,202401,243,"C-02",44,20
-23983,162,202401,253,"C-02",44,20
-23980,134,202401,242,"D-02",44,20
-23982,162,202401,252,"D-02",44,20
-23961,134,202401,234,"G-01",44,20
-23965,162,202401,244,"G-01",44,20
-23975,134,202401,240,"G-20",44,20
-23978,162,202401,250,"G-20",44,20
-23974,134,202401,239,"G-21",44,20
-23977,162,202401,249,"G-21",44,20
-23960,134,202401,233,"H-01",44,20
-23964,162,202401,243,"H-01",44,20
-23966,134,202401,235,"H-20",44,20
-23970,162,202401,245,"H-20",44,20
-23959,134,202401,232,"I-01",44,20
-23963,162,202401,242,"I-01",44,20
-23967,134,202401,236,"I-20",44,20
-23971,162,202401,246,"I-20",44,20
-23968,134,202401,237,"I-21",44,20
-23972,162,202401,247,"I-21",44,20
-23969,134,202401,238,"I-22",44,20
-23973,162,202401,248,"I-22",44,20
-23958,134,202401,231,"J-01",44,20
-23962,162,202401,241,"J-01",44,20
-23953,134,202401,230,"K-19",44,20
-23957,162,202401,240,"K-19",44,20
-23952,134,202401,229,"K-20",44,20
-23956,162,202401,239,"K-20",44,20
-23951,134,202401,228,"K-21",44,20
-23955,162,202401,238,"K-21",44,20
-23950,134,202401,227,"K-22",44,20
-23954,162,202401,237,"K-22",44,20
-23945,134,202401,226,"L-27",44,20
-23949,162,202401,236,"L-27",44,20
-23944,134,202401,225,"M-27",44,20
-23948,162,202401,235,"M-27",44,20
-23943,134,202401,224,"M-28",44,20
-23947,162,202401,234,"M-28",44,20
-23942,134,202401,223,"N-28",44,20
-23946,162,202401,233,"N-28",44,20
