"model","rmse","SPECIES_CODE","gam_knots","best"
"binomial",0.277059019710696,10130,9,TRUE
"beta",0.311677654921058,10130,9,FALSE
"binomial",0.222767779749052,10210,6,TRUE
"beta",0.269241676411751,10210,6,FALSE
"binomial",0.262165572586614,10261,9,TRUE
"beta",0.295486617953331,10261,9,FALSE
"binomial",0.322827260903873,21720,8,TRUE
"beta",0.353714411220805,21720,8,FALSE
"binomial",0.310296766998651,21740,8,TRUE
"beta",0.340133954977969,21740,8,FALSE
"binomial",0.324139804061039,10110,8,TRUE
"beta",0.353602319677868,10110,8,FALSE
"binomial",0.244978278408057,10285,4,TRUE
"beta",0.288625364830346,10285,4,FALSE
"binomial",0.332727238905309,68560,8,TRUE
"beta",0.372321481931444,68560,8,FALSE
"binomial",0.28705662001137,69322,5,TRUE
"beta",0.316538659463826,69322,5,FALSE
"binomial",0.454078403416898,471,5,TRUE
"beta",0.466045563231822,471,5,FALSE
"binomial",0.277878789318913,68580,9,TRUE
"beta",0.314240213196975,68580,9,FALSE
