"CRUISE","VESSEL","HAUL","GEAR_DEPTH","BOTTOM_DEPTH","START_TIME","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","PERFORMANCE","HAUL_TYPE","STRATUM","STATIONID"
200202,57,15,236,244,2002-06-08 21:09:27,55.45632,-168.19501,55.44368,-168.16319,0,3,11,"49"
200202,57,18,302,309,2002-06-09 14:14:14,55.28886,-167.8972,55.30305,-167.9267,0,3,11,"42"
200202,57,21,197,204,2002-06-10 07:12:00,55.03179,-167.33681,55.0452,-167.3669,0,3,11,"21"
200202,57,66,202,209,2002-06-25 07:00:40,59.18784,-177.9353,59.18243,-177.8988,0,3,61,"326"
200202,57,67,246,253,2002-06-25 09:36:04,59.36537,-177.6026,59.38694,-177.6011,0,3,61,"329"
200202,57,69,301,308,2002-06-25 14:12:43,59.50977,-177.8262,59.5144,-177.78439,0,3,61,"336"
200202,57,71,220,227,2002-06-25 20:21:45,59.52314,-178.0787,59.51807,-178.12219,0,3,61,"338"
200202,57,72,259,266,2002-06-26 07:53:15,59.48509,-178.2709,59.50217,-178.30119,0,3,61,"341"
200202,57,75,208,215,2002-06-27 07:54:00,59.79431,-178.6752,59.77658,-178.64751,0,3,61,"343"
200202,57,78,284,294,2002-06-27 19:47:00,59.94621,-178.9305,59.92792,-178.90981,0,3,61,"345"
200202,57,84,229,236,2002-06-29 07:19:31,60.59889,-178.8197,60.57635,-178.8107,0,3,61,"354"
200202,57,85,288,295,2002-06-29 10:50:03,60.38066,-178.6524,60.40032,-178.67171,0,3,61,"350"
200202,57,124,360,367,2002-07-17 12:40:08,54.20232,-166.24451,54.19738,-166.2823,0,3,11,"25"
200202,57,125,341,348,2002-07-19 07:01:03,54.81663,-167.12289,54.83226,-167.149,0,3,11,"38"
200202,57,126,212,219,2002-07-19 09:01:57,54.95425,-167.17149,54.94216,-167.1412,0,3,11,"43"
200202,57,127,226,233,2002-07-19 11:26:12,55.05101,-167.4409,55.03733,-167.4111,0,3,11,"39"
200202,57,133,361,368,2002-07-21 12:11:25,54.64301,-166.73511,54.64007,-166.6987,0,3,11,"36"
200202,57,135,290,297,2002-07-21 19:19:20,54.68995,-166.3755,54.68522,-166.3389,0,3,11,"44"
200202,57,136,361,368,2002-07-22 06:47:57,54.73737,-167.0047,54.72087,-166.97951,0,3,11,"37"
200202,57,137,255,262,2002-07-22 10:11:44,54.82401,-166.8398,54.81533,-166.8026,0,3,11,"51"
200202,57,138,207,213,2002-07-22 12:00:10,54.8679,-166.8195,54.85937,-166.78529,0,3,11,"14"
200202,57,139,230,236,2002-07-22 15:01:09,54.81826,-166.7124,54.81184,-166.67641,0,3,11,"13"
200202,57,140,199,205,2002-07-22 18:01:37,54.80393,-166.49339,54.79986,-166.4563,0,3,11,"46"
200202,57,141,297,304,2002-07-23 07:15:02,54.6925,-165.73511,54.69006,-165.70309,5,3,11,"30"
200202,57,142,200,207,2002-07-23 10:18:26,54.76426,-165.86861,54.76689,-165.9072,0,3,11,"10"
200202,57,143,309,316,2002-07-23 13:21:35,54.67781,-165.91071,54.67553,-165.94839,0,3,11,"32"
200202,57,149,275,283,2002-07-25 07:57:41,54.34093,-165.8846,54.32513,-165.9093,0,3,11,"27"
200401,134,1,239,248,2004-06-06 15:52:21,54.51341,-165.63091,54.53591,-165.61,0,3,11,"2"
200401,134,2,347,355,2004-06-06 18:52:46,54.61066,-165.69009,54.58242,-165.68449,0,3,11,"29"
200401,134,4,298,306,2004-06-07 09:48:27,54.68975,-165.77969,54.6908,-165.8201,0,3,11,"30"
200401,134,5,248,256,2004-06-07 12:51:52,54.71818,-165.5506,54.7086,-165.5126,0,3,11,"4"
200401,134,6,194,202,2004-06-07 14:33:14,54.74322,-165.408,54.72005,-165.3958,0,3,11,"5"
200401,134,10,311,318,2004-06-08 16:53:52,54.67689,-165.9133,54.67704,-165.8681,0,3,11,"32"
200401,134,11,292,299,2004-06-09 07:31:30,54.68628,-166.3597,54.68728,-166.3963,0,3,11,"44"
200401,134,20,197,205,2004-06-12 07:08:06,54.79754,-166.44279,54.80106,-166.4836,0,3,11,"46"
200401,134,22,321,328,2004-06-12 10:31:08,54.73371,-166.84039,54.7176,-166.8062,0,3,11,"47"
200401,134,23,362,369,2004-06-12 12:18:01,54.72525,-166.98981,54.74073,-167.01421,0,3,11,"37"
200401,134,37,214,221,2004-06-15 18:33:21,54.94371,-167.149,54.95669,-167.181,0,3,11,"43"
200401,134,42,196,203,2004-06-16 15:15:08,55.0349,-167.34509,55.05096,-167.3779,0,3,11,"21"
200401,134,43,341,348,2004-06-17 07:16:48,55.17145,-167.7912,55.19078,-167.81689,0,3,11,"41"
200401,134,44,225,233,2004-06-17 09:40:30,55.40062,-168.0256,55.41005,-168.0493,0,3,11,"18"
200401,134,107,203,210,2004-07-07 11:50:23,59.18926,-177.9424,59.18312,-177.90311,0,3,61,"326"
200401,134,111,321,328,2004-07-08 07:19:42,59.63767,-178.4613,59.65533,-178.48511,0,3,61,"342"
200401,134,114,208,215,2004-07-08 13:58:48,59.79277,-178.6739,59.77554,-178.64819,0,3,61,"343"
200401,134,121,228,235,2004-07-10 07:11:33,60.59806,-178.8204,60.57672,-178.8127,0,3,61,"354"
200401,134,122,286,293,2004-07-10 09:17:03,60.49509,-178.842,60.47863,-178.8119,0,3,61,"352"
200401,134,123,288,295,2004-07-10 11:46:35,60.40621,-178.6824,60.39474,-178.67191,0,3,61,"350"
200401,134,124,205,213,2004-07-10 13:51:31,60.24598,-178.49409,60.2248,-178.50169,0,3,61,"349"
200401,134,125,375,382,2004-07-10 15:59:51,60.17766,-178.86391,60.16566,-178.9046,0,3,61,"347"
200401,134,127,333,341,2004-07-11 10:33:23,60.09016,-179.0674,60.06836,-179.0708,0,3,61,"346"
200401,134,132,279,286,2004-07-12 11:27:44,59.94329,-178.9265,59.92415,-178.9059,0,3,61,"345"
200401,134,134,240,247,2004-07-12 15:47:29,59.85084,-178.7887,59.86783,-178.81689,0,3,61,"344"
200401,134,139,215,222,2004-07-14 07:04:19,59.51374,-178.157,59.51933,-178.1151,0,3,61,"338"
200401,134,140,199,206,2004-07-14 08:59:00,59.64364,-177.8754,59.65971,-177.8447,0,3,61,"335"
200401,134,141,305,312,2004-07-14 11:03:29,59.50753,-177.84689,59.51231,-177.8044,0,3,61,"336"
200401,134,143,249,256,2004-07-14 14:54:58,59.39652,-177.60519,59.37294,-177.605,0,3,61,"329"
200401,134,185,203,210,2004-07-28 13:24:45,55.57114,-168.4711,55.55871,-168.4373,0,3,11,"48"
200401,134,186,236,243,2004-07-28 15:24:06,55.4595,-168.2023,55.445,-168.17261,0,3,11,"49"
200401,134,189,304,311,2004-07-29 09:56:04,55.30472,-167.9303,55.29066,-167.9012,0,3,11,"42"
200401,134,196,226,233,2004-07-30 14:33:03,55.03708,-167.4097,55.05104,-167.4402,0,3,11,"39"
200401,134,197,199,206,2004-07-30 16:39:40,55.1243,-167.5251,55.10819,-167.4966,0,3,11,"22"
200401,134,216,341,348,2004-08-04 07:45:30,54.81839,-167.1259,54.83447,-167.15311,0,3,11,"38"
200401,134,217,233,240,2004-08-04 09:45:08,54.88134,-166.9675,54.87196,-166.9321,0,3,11,"20"
200401,134,218,207,214,2004-08-04 11:41:39,54.86826,-166.82201,54.85925,-166.7867,0,3,11,"14"
200401,134,219,255,262,2004-08-04 13:33:20,54.82407,-166.8405,54.81605,-166.80479,0,3,11,"51"
200401,134,220,362,369,2004-08-04 15:55:23,54.64337,-166.74339,54.6404,-166.70531,0,3,11,"36"
200401,134,229,308,315,2004-08-06 16:02:42,54.67021,-166.1181,54.66798,-166.1566,0,3,11,"33"
200401,134,230,236,243,2004-08-06 18:39:59,54.7333,-166.1981,54.73457,-166.23779,0,3,11,"12"
200401,134,231,202,209,2004-08-07 07:46:48,54.77468,-166.31731,54.77306,-166.27901,0,3,11,"34"
200401,134,232,203,210,2004-08-07 09:47:18,54.76067,-166.0152,54.75959,-165.9762,0,3,11,"23"
200401,134,233,196,203,2004-08-07 11:38:16,54.76721,-165.9174,54.76446,-165.879,0,3,11,"10"
200401,134,234,215,222,2004-08-07 13:59:15,54.75563,-165.7657,54.75536,-165.72749,0,3,11,"11"
200401,134,235,260,267,2004-08-07 16:10:05,54.72081,-165.7149,54.71975,-165.67571,0,3,11,"9"
200401,134,239,361,369,2004-08-08 15:10:08,54.58627,-165.7061,54.57425,-165.7068,0,3,11,"28"
200401,134,240,323,331,2004-08-08 16:42:04,54.63544,-165.6394,54.61127,-165.64169,0,3,11,"24"
200801,94,1,248,253,2008-06-06 08:39:43,54.71655,-165.53059,54.72309,-165.56911,0,3,11,"11-02"
200801,94,2,218,226,2008-06-06 11:51:33,54.75298,-165.80949,54.75428,-165.76939,0,3,11,"11-06"
200801,94,3,259,267,2008-06-06 14:35:26,54.7219,-165.7323,54.7166,-165.69479,0,3,11,"11-04"
200801,94,4,294,301,2008-06-06 17:13:17,54.69229,-165.77901,54.68908,-165.7402,0,3,11,"11-20"
