"SPECIES_CODE","model","k","obs_weight_method","obs_weight_max_count","obs_weight_residual_type","obs_weight_normalize_weight","rmse","best"
68560,"beta",8,"count",200,"none",FALSE,0.33962799968986,FALSE
68560,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.318816414709259,TRUE
10110,"beta",8,"count",200,"none",FALSE,0.321485568207644,FALSE
10110,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.304395594187546,TRUE
10130,"beta",9,"count",200,"none",FALSE,0.297462772116643,FALSE
10130,"binomial",9,"residuals_by_count",200,"absolute",TRUE,0.273722323243467,TRUE
685601,"beta",8,"count",200,"none",FALSE,0.361491039630124,FALSE
685601,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.3476481826595,TRUE
685602,"beta",10,"count",200,"none",FALSE,0.371861890400769,FALSE
685602,"binomial",10,"residuals_by_count",200,"absolute",TRUE,0.346599325527784,TRUE
471,"beta",5,"count",200,"none",FALSE,0.424373498371224,FALSE
471,"binomial",5,"residuals_by_count",200,"absolute",TRUE,0.423390671520898,TRUE
21720,"beta",8,"count",200,"none",FALSE,0.377554704477233,FALSE
21720,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.349132234282322,TRUE
21740,"beta",8,"count",200,"none",FALSE,0.31167652224213,FALSE
21740,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.302986638846709,TRUE
10210,"beta",6,"count",200,"none",FALSE,0.230944235810263,FALSE
10210,"binomial",6,"residuals_by_count",200,"absolute",TRUE,0.228784942549184,TRUE
10261,"beta",7,"count",200,"none",FALSE,0.26547408946196,FALSE
10261,"binomial",7,"residuals_by_count",200,"absolute",TRUE,0.242045407660792,TRUE
10285,"beta",6,"count",200,"none",FALSE,0.252580666537598,FALSE
10285,"binomial",6,"residuals_by_count",200,"absolute",TRUE,0.24360755912353,TRUE
69322,"beta",5,"count",200,"none",FALSE,0.348864974040644,FALSE
69322,"binomial",5,"residuals_by_count",200,"absolute",TRUE,0.316018519149671,TRUE
693222,"beta",8,"count",200,"none",FALSE,0.36904061823996,FALSE
693222,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.350445755522611,TRUE
693221,"beta",8,"count",200,"none",FALSE,0.384842983234633,FALSE
693221,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.372855502573335,TRUE
68580,"beta",8,"count",200,"none",FALSE,0.311499051415161,FALSE
68580,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.291285843165886,TRUE
685801,"beta",8,"count",200,"none",FALSE,0.31161979293899,FALSE
685801,"binomial",8,"residuals_by_count",200,"absolute",TRUE,0.290553045015163,TRUE
685802,"beta",5,"count",200,"none",FALSE,0.328065652699698,FALSE
685802,"binomial",5,"residuals_by_count",200,"absolute",TRUE,0.30979156206524,TRUE
