CPUE comparison between 15 and 30 minute tows
 BIAS > 1 = 30 minutes higher
 MEAN_RATIO > 1 = 30 minutes higher


"COMMON_NAME","BIAS","MEAN_RATIO","MAE","RMSE"
"Alaska skate",0.861076239800673,1.5515230396495,1.92432807053356,1285.81486573288
"arrowtooth flounder",1.1436513410243,0.944558516458068,1.37809035414306,1025.07107033447
"flathead sole",1.06293058203597,1.05566368029461,1.42756482626483,1775.62629082059
"yellowfin sole",1.0410869147658,1.035093425311,1.35478280013827,3840.62621808762
"northern rock sole",0.921297966254879,1.18454548133983,1.397856809371,2923.59612807488
"Alaska plaice",0.978129216986256,1.12410364107081,1.41997707505212,1165.77359356376
"Pacific cod",0.89039988918278,1.47890748638331,1.78052309780516,7038.89719574548
"walleye pollock",0.956893807805814,1.18245296087896,1.43888655509585,9237.76273018263
"Tanner crab",0.938343828852304,1.22924519910281,1.52344482329198,445.175243159347
"snow crab",0.941771871189121,1.42280705387459,2.01878005890908,1675.68094289302
"red king crab",1.00640336951305,1.09888554912225,1.42596093682074,921.537264157747
