CRAB_ID,HAULJOIN,CRUISE,VESSEL,HAUL,STATION,SPECIES_KFRC,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,SAMPLING_FACTOR,CHELA_HEIGHT,MERUS_LENGTH,COMMENTS,GIS_STATION
3904099,-23934,202401,162,229,61-15,,68560,2,,54.9,2,0,0,0,,,,,,1,,,,61-15
3904100,-23934,202401,162,229,61-15,,68560,2,,47.2,2,0,0,0,,,,,,1,,,,61-15
3904101,-23934,202401,162,229,61-15,,68560,2,,50.4,2,0,0,0,,,,,,1,,,,61-15
3904102,-23934,202401,162,229,61-15,,68560,2,,48,2,0,0,0,,,,,,1,,,,61-15
3904103,-23934,202401,162,229,61-15,,68560,2,,65.5,2,0,0,0,,,,,,1,,,,61-15
3904104,-23934,202401,162,229,61-15,,68560,2,,52,2,0,0,0,,,,,,1,,,,61-15
3904105,-23934,202401,162,229,61-15,,68560,2,,59.4,2,0,0,0,,,,,,1,,,,61-15
3904106,-23934,202401,162,229,61-15,,68560,2,,62.5,2,0,0,0,,,,,,1,,,,61-15
3904107,-23934,202401,162,229,61-15,,68560,2,,65.7,2,0,0,0,,,,,,1,,,,61-15
3904108,-23934,202401,162,229,61-15,,68560,2,,63.5,2,0,0,0,,,,,,1,,,,61-15
3904109,-23934,202401,162,229,61-15,,68560,2,,68.4,2,0,0,0,,,,,,1,,,,61-15
3904110,-23934,202401,162,229,61-15,,68580,1,,58.9,2,,,,,,,,,1,,,,61-15
3904111,-23934,202401,162,229,61-15,,68580,1,,52,2,,,,,,,,,1,,,,61-15
3904112,-23934,202401,162,229,61-15,,68580,1,,40.4,2,,,,,,,,,1,,,,61-15
3904113,-23934,202401,162,229,61-15,,68580,1,,58,2,,,,,,,,,1,,,,61-15
3904114,-23934,202401,162,229,61-15,,68580,2,,75.4,3,0,0,1,,,,,,1,,,,61-15
3904115,-23934,202401,162,229,61-15,,68580,2,,53.6,1,0,0,0,,,,,,1,,,,61-15
3904116,-23934,202401,162,229,61-15,,68580,2,,51.8,1,0,0,0,,,,,,1,,,,61-15
3904117,-23934,202401,162,229,61-15,,68590,1,,47.5,2,,,,,,,,,1,,,,61-15
3904118,-23934,202401,162,229,61-15,,68590,1,,64.7,2,,,,,,,,,1,,,,61-15
3904119,-23934,202401,162,229,61-15,,68590,1,,48.1,2,,,,,,,,,1,,,,61-15
3904120,-23934,202401,162,229,61-15,,68590,1,,49.8,2,,,,,,,,,1,,,,61-15
3904121,-23934,202401,162,229,61-15,,68590,2,,59.2,2,0,0,0,,,,,,1,,,,61-15
3904122,-23934,202401,162,229,61-15,,68590,2,,58,2,0,0,0,,,,,,1,,,,61-15
3904123,-23934,202401,162,229,61-15,,68590,2,,54.9,2,0,0,0,,,,,,1,,,,61-15
3904124,-23935,202401,162,230,61-14,,68560,1,,48.5,2,,,,,,,,,1,,,,61-14
3904125,-23935,202401,162,230,61-14,,68560,1,,44,2,,,,,,,,,1,,,,61-14
3904126,-23935,202401,162,230,61-14,,68560,1,,43.6,2,,,,,,,,,1,,,,61-14
3904127,-23935,202401,162,230,61-14,,68560,1,,51.9,2,,,,,,,,,1,,,,61-14
3904128,-23935,202401,162,230,61-14,,68560,1,,45.3,2,,,,,,,,,1,,,,61-14
3904130,-23935,202401,162,230,61-14,,68560,1,,42.1,2,,,,,,,,,1,,,,61-14
3904131,-23935,202401,162,230,61-14,,68560,1,,44.5,2,,,,,,,,,1,,,,61-14
3904132,-23935,202401,162,230,61-14,,68560,1,,45.2,2,,,,,,,,,1,,,,61-14
3904133,-23935,202401,162,230,61-14,,68560,1,,41.5,2,,,,,,,,,1,,,,61-14
3904134,-23935,202401,162,230,61-14,,68560,1,,55.8,2,,,,,,,,,1,,,,61-14
3904135,-23935,202401,162,230,61-14,,68560,2,,70.2,2,4,1,4,,,,,,1,,,,61-14
3904137,-23935,202401,162,230,61-14,,68560,2,,42,2,0,0,0,,,,,,1,,,,61-14
3904138,-23935,202401,162,230,61-14,,68560,2,,58.8,2,0,0,0,,,,,,1,,,,61-14
3904139,-23935,202401,162,230,61-14,,68560,2,,58.5,2,0,0,0,,,,,,1,,,,61-14
3904140,-23947,202401,162,234,M-28,,68560,1,,75.4,2,,,,,,,,,1,,,,M-28
3904141,-23947,202401,162,234,M-28,,68560,1,,45.8,2,,,,,,,,,1,,,,M-28
