"model","rmse","SPECIES_CODE","gam_knots","best"
"binomial",0.448722919053033,471,5,TRUE
"beta",0.472091153964191,471,5,FALSE
"binomial",0.323751132541244,10110,8,TRUE
"beta",0.371543794464025,10110,8,FALSE
"binomial",0.393578046632862,10112,8,TRUE
"beta",0.436218049002285,10112,8,FALSE
"binomial",0.280099803682001,10130,6,TRUE
"beta",0.321261082646008,10130,6,FALSE
"binomial",0.384890827579525,21720,6,TRUE
"beta",0.42132464058206,21720,6,FALSE
"binomial",0.282617603071527,21740,8,TRUE
"beta",0.327123538767199,21740,8,FALSE
"binomial",0.45474680116617,10115,6,TRUE
"beta",0.501708690565722,10115,6,FALSE
