"COMMON_NAME","CCRbeta","CCRmean","GAM","K","LR","LR-BC","Median"
"walleye pollock",24099,23953,23391,27280,23958,29476,23649
"Pacific cod",2277,2277,635,1685,2313,3140,2017
"sablefish",1554,1554,1200,2899,1394,2041,1123
"Pacific ocean perch",13358,13358,13371,13305,14901,20223,13476
"BS/RE rockfish",185,185,231,NA,211,513,219
"shortspine thornyhead",860,860,1029,1302,959,1021,910
"Greenland turbot",334,334,389,395,279,281,341
"arrowtooth flounder",9595,9595,11046,9031,9975,9554,9485
"Kamchatka flounder",288,288,307,300,314,382,268
"flathead sole",2906,2828,2371,2024,2951,4617,2401
"skates",1966,1962,1236,1446,2128,3471,2311
"snow crab",257,257,43,66,114,178,65
