"common_name","type","method","rmse","pbias","w"
"BS/RE rockfish","CCR","ccr_beta4",117,"  2.6","0.260"
"BS/RE rockfish","Proportion","bb4",120," 10.3","0.254"
"BS/RE rockfish","Count","nb5",123," 26.3","0.247"
"BS/RE rockfish","Ratio","lognormal1",127,"-52.2","0.239"
"Greenland turbot","Count","nb7",60,"  2.2","0.257"
"Greenland turbot","Proportion","bin2",61,"  1.2","0.255"
"Greenland turbot","CCR","ccr_beta5",61,"-15.5","0.254"
"Greenland turbot","Ratio","lognormal2",66,"-30.4","0.234"
"Kamchatka flounder","Proportion","bin2",426,"  1.0","0.250"
"Kamchatka flounder","Ratio","lognormal1",427,"-26.2","0.250"
"Kamchatka flounder","CCR","ccr_beta9",427,"-19.9","0.250"
"Kamchatka flounder","Count","nb11",429," -6.3","0.249"
"Pacific cod","CCR","ccr_bin1",333,"-19.2","0.255"
"Pacific cod","Proportion","bb7",334,"-16.1","0.254"
"Pacific cod","Ratio","OLS median",341,"-18.4","0.249"
"Pacific cod","Count","nb7",350," -5.3","0.242"
"Pacific ocean perch","Count","nb6",4635,"-34.2","0.353"
"Pacific ocean perch","Proportion","bin3",5657," 28.0","0.289"
"Pacific ocean perch","Ratio","lognormal3",8096,"-35.4","0.202"
"Pacific ocean perch","CCR","ccr_beta6",10477," 10.5","0.156"
"arrowtooth flounder","Proportion","bb8",7394,"-13.5","0.256"
"arrowtooth flounder","CCR","ccr_beta9",7585,"-19.3","0.249"
"arrowtooth flounder","Count","nb11",7628," -2.4","0.248"
"arrowtooth flounder","Ratio","lognormal3",7664,"-25.5","0.247"
"flathead sole","Ratio","OLS median",6687," -3.8","0.263"
"flathead sole","Proportion","bb1",6723," -6.5","0.262"
"flathead sole","Count","nb11",7109,"-10.0","0.247"
"flathead sole","CCR","ccr_beta1",7726," -5.7","0.228"
"sablefish","CCR","ccr_bin1",1179,"-11.0","0.255"
"sablefish","Count","nb5",1186," -0.7","0.254"
"sablefish","Proportion","bb4",1214,"-13.0","0.248"
"sablefish","Ratio","OLS median",1233,"-15.8","0.244"
"shortspine thornyhead","CCR","ccr_beta8",1963,"-13.8","0.257"
"shortspine thornyhead","Ratio","OLS mean",2009,"-11.3","0.251"
"shortspine thornyhead","Count","nb3",2014," -1.0","0.250"
"shortspine thornyhead","Proportion","bin3",2085," -3.8","0.242"
"skates","CCR","ccr_beta3",355,"-12.7","0.269"
"skates","Proportion","bin1",386," -2.9","0.248"
"skates","Count","nb5",390," -6.7","0.245"
"skates","Ratio","OLS median",401,"-21.6","0.238"
"snow crab","CCR","ccr_beta4",51," 1.2","0.310"
"snow crab","Ratio","OLS median",59,"-1.3","0.271"
"snow crab","Proportion","bin1",65,"-1.3","0.246"
"snow crab","Count","pois1",92,"-3.0","0.173"
"walleye pollock","CCR","ccr_bin1",54932,"-16.2","0.254"
"walleye pollock","Proportion","bb4",55285,"-17.0","0.253"
"walleye pollock","Ratio","OLS median",55406,"-14.4","0.252"
"walleye pollock","Count","nb5",58017," 24.0","0.241"
