min_depth_fm,max_depth_fm,scope_fm,min_depth_m,max_depth_m,scope_m
1,21,75,1.8288,38.4048,137.16
22,29,100,40.2336,53.0352,182.88
30,38,125,54.864,69.4944,228.6
39,47,150,71.3232,85.9536,274.32
48,57,175,87.7824,104.2416,320.04
58,67,200,106.0704,122.5296,365.76
68,78,225,124.3584,142.6464,411.48
79,90,250,144.4752,164.592,457.2
91,102,275,166.4208,186.5376,502.92
103,114,300,188.3664,208.4832,548.64
115,128,325,210.312,234.0864,594.36
129,140,375,228.6,256.032,685.8
141,156,400,257.8608,285.2928,731.52
157,171,425,285.2928,312.7248,777.24
171,186,450,312.7248,340.1568,822.96
187,201,475,341.9856,367.5888,868.68
202,217,500,369.4176,396.8496,914.4
218,232,525,396.8496,424.2816,960.12
233,248,550,426.1104,453.5424,1005.84
249,263,575,455.3712,480.9744,1051.56
264,278,600,480.9744,508.4064,1097.28
