min_depth_fm,max_depth_fm,scope_fm,min_depth_m,max_depth_m,scope_m
1,21,75,1,38,137
22,29,100,39,53,183
30,38,125,54,69,229
39,47,150,70,86,274
48,57,175,87,104,320
58,67,200,105,123,366
68,79,225,124,145,411
80,94,300,146,173,549
95,110,325,174,201,594
110,125,350,202,229,640
126,140,375,230,257,686
141,156,400,258,284,732
157,171,425,285,312,777
172,186,450,313,341,823
187,201,475,342,368,869
202,217,500,369,396,914
218,232,525,397,425,960
233,248,550,426,454,1006
249,263,575,455,480,1052
264,278,600,481,508,1097
