"SPECIES_CODE","YEAR","n"
420,2024,3
435,2023,66
435,2024,223
440,2023,1
440,2024,3
455,2023,2
455,2024,116
471,2023,10
471,2024,239
472,2023,66
472,2024,334
475,2024,3
477,2024,1
480,2023,1
480,2024,262
485,2023,4
485,2024,43
10110,2023,1138
10110,2024,4377
10112,2023,129
10112,2024,474
10115,2023,25
10115,2024,129
10130,2023,177
10130,2024,5687
20510,2023,551
20510,2024,1401
21720,2023,75
21720,2024,513
21740,2023,1174
21740,2024,51254
30020,2023,65
30020,2024,2105
30051,2023,6
30051,2024,75
30052,2023,9
30052,2024,74
30060,2023,182
30060,2024,4129
30152,2023,1
30152,2024,6
30420,2023,1
68580,2024,312
