OBS CATCH15M CATCH30M CATCH15T CATCH30T CPUE15F CPUE30F CPUE15M CPUE30M

  1     1        3        3        4    1.08775 0.24117  0.5439  0.7235
  2     3        8        4        8    0.49554 0.00000  1.4866  2.0457
  3     1        2        2        3    0.44813 0.23445  0.4481  0.4689
  4     1        1        1        1    0.00000 0.00000  0.4992  0.2231
  5     0        0        0        0    0.00000 0.00000  0.0000  0.0000
  6     0        1        0        1    0.00000 0.00000  0.0000  0.2278
  7     0        0        0        0    0.00000 0.00000  0.0000  0.0000
  8     1        1        3        1    0.84998 0.00000  0.4250  0.2403
  9     0        2        0        2    0.00000 0.00000  0.0000  0.4691
 10     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 11     0        1        0        1    0.00000 0.00000  0.0000  0.2243
 12     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 13     3        2        3        4    0.00000 0.44287  1.3535  0.4429
 14     0        2        0        2    0.00000 0.00000  0.0000  0.4761
 15     4        2        5        2    0.46016 0.00000  1.8406  0.4675
 16     4        5        4        5    0.00000 0.00000  1.7165  1.1216
 17     5        3        6        3    0.50988 0.00000  2.5494  0.6862
 18    10        9       10        9    0.00000 0.00000  4.3171  2.0403
 19     3       21        3       21    0.00000 0.00000  1.3595  4.7233
 20     5       12        5       14    0.00000 0.45758  2.1834  2.7455
 21     2        9        6       13    1.70013 0.85564  0.8501  1.9252
 22     3       12        5       17    0.85503 1.12254  1.2825  2.6941
 23     4        9        5       10    0.43333 0.21803  1.7333  1.9622
 24     5        8        5        9    0.00000 0.22599  2.2135  1.8079
 25     3        8        3       11    0.00000 0.65551  1.1039  1.7480
 26    48       72       50       74    0.83919 0.41888 20.1407 15.0796
 27     0       10        0       11    0.00000 0.21432  0.0000  2.1432
 28     4        4        4        4    0.00000 0.00000  1.7788  0.9083
 29     0        1        0        1    0.00000 0.00000  0.0000  0.2077
 30     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 31     6       20        6       22    0.00000 0.45033  2.5624  4.5033
 32     0        1        0        1    0.00000 0.00000  0.0000  0.2055
 33     3        4        6        7    1.19098 0.63241  1.1910  0.8432
 34     1        0        1        0    0.00000 0.00000  0.4253  0.0000
 35     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 36     5        0        5        0    0.00000 0.00000  2.0124  0.0000
 37     4       11        9       17    1.77332 1.11348  1.4187  2.0414
 38     5        6       30       40    9.09732 6.36996  1.8195  1.1241
 39     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 40     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 41     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 42     0        1        0        1    0.00000 0.00000  0.0000  0.2036
 43     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 44     0        1        0        1    0.00000 0.00000  0.0000  0.1987
 45     1        0        1        0    0.00000 0.00000  0.3856  0.0000
 46     0        2        0        2    0.00000 0.00000  0.0000  0.3994
 47     0        1        0        1    0.00000 0.00000  0.0000  0.2025
 48     0        3        0        4    0.00000 0.20864  0.0000  0.6259
 49     0        2        0        5    0.00000 0.60653  0.0000  0.4044
 50     2        4        3        6    0.40545 0.41760  0.8109  0.8352
 51     2        1        2        3    0.00000 0.41510  0.8156  0.2075
 52     5        9        5        9    0.00000 0.00000  2.1158  1.8670
 53     3        6        3        6    0.00000 0.00000  1.1941  1.2566
 54     4        3        4        3    0.00000 0.00000  1.6554  0.6196
 55     2        0        4        0    0.80121 0.00000  0.8012  0.0000
 56     4        2        4        3    0.00000 0.21553  1.6522  0.4311
 57     0        4        0        4    0.00000 0.00000  0.0000  0.8868
 58     0        4        1        4    0.41946 0.00000  0.0000  0.8638
 59     1        0        1        0    0.00000 0.00000  0.4075  0.0000
 60     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 61     1        0        1        0    0.00000 0.00000  0.3904  0.0000
 62     6        8        6        8    0.00000 0.00000  2.4355  1.6318
 63    20       30       21       31    0.42883 0.19861  8.5767  5.9584
 64    16       14       17       15    0.44150 0.21765  7.0640  3.0471
 65     8       12        9       15    0.41309 0.62467  3.3047  2.4987
 66    13       33       15       39    0.80634 1.26053  5.2412  6.9329
 67     8       19       10       22    0.82872 0.61462  3.3149  3.8926
 68     6       18        7       28    0.38458 2.00870  2.3075  3.6157
 69    19       22       23       28    1.44095 1.16024  6.8445  4.2542
 70    12       19       15       26    1.14645 1.34582  4.5858  3.6529
 71     9       24       16       29    2.57064 0.95084  3.3051  4.5640
 72     0        6        0        8    0.00000 0.37736  0.0000  1.1321
 73     0        0        1        0    0.40388 0.00000  0.0000  0.0000
 74     6        6        7       15    0.34198 1.68516  2.0519  1.1234
 75     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 76     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 77     1       10        6       13    1.65206 0.53851  0.3304  1.7950
 78     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 79     0        5        0        9    0.00000 0.81279  0.0000  1.0160
 80    27        0       39        0    4.90192 0.00000 11.0293  0.0000
 81     0        4        0        7    0.00000 0.60338  0.0000  0.8045
 82     3       11        4       15    0.38310 0.76988  1.1493  2.1172
 83     3        2        5        2    0.72995 0.00000  1.0949  0.3728
 84     1        2        1        2    0.00000 0.00000  0.3400  0.3708
 85     0        8        0       10    0.00000 0.45027  0.0000  1.8011
 86     3        0        5        5    0.80266 0.97760  1.2040  0.0000
 87     2        2        3        2    0.37945 0.00000  0.7589  0.3980
 88     8        2       15        2    2.48879 0.00000  2.8443  0.3766
 89     2        5        2        8    0.00000 0.55835  0.6961  0.9306
 90     5        4        8        5    1.04401 0.17285  1.7400  0.6914
 91     2        5        2        6    0.00000 0.19300  0.7152  0.9650
 92     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 93     0        0        0        0    0.00000 0.00000  0.0000  0.0000
 94     1        0        2        0    0.36777 0.00000  0.3678  0.0000
