OBS CPUE15T  CPUE30T   RATIOF   RATIOM   RATIOT   LNRATF    LNRATM    LNRATT

  1  1.6316   0.9647  4.51041  0.75173   1.6914   1.50639  -0.28537   0.52556
  2  1.9822   2.0457   .       0.72669   0.9689    .       -0.31926  -0.03158
  3  0.8963   0.7033  1.91141  0.95571   1.2743   0.64784  -0.04530   0.24238
  4  0.4992   0.2231   .       2.23770   2.2377    .        0.80545   0.80545
  5  0.0000   0.0000   .        .         .        .         .         .     
  6  0.0000   0.2278   .        .         .        .         .         .     
  7  0.0000   0.0000   .        .         .        .         .         .     
  8  1.2750   0.2403   .       1.76884   5.3065    .        0.57032   1.66894
  9  0.0000   0.4691   .        .         .        .         .         .     
 10  0.0000   0.0000   .        .         .        .         .         .     
 11  0.0000   0.2243   .        .         .        .         .         .     
 12  0.0000   0.0000   .        .         .        .         .         .     
 13  1.3535   0.8857   .       3.05626   1.5281    .        1.11719   0.42405
 14  0.0000   0.4761   .        .         .        .         .         .     
 15  2.3008   0.4675   .       3.93699   4.9212    .        1.37042   1.59356
 16  1.7165   1.1216   .       1.53041   1.5304    .        0.42553   0.42553
 17  3.0593   0.6862   .       3.71503   4.4580    .        1.31239   1.49471
 18  4.3171   2.0403   .       2.11594   2.1159    .        0.74950   0.74950
 19  1.3595   4.7233   .       0.28782   0.2878    .       -1.24541  -1.24541
 20  2.1834   3.2030   .       0.79527   0.6817    .       -0.22908  -0.38323
 21  2.5502   2.7808  1.98696  0.44155   0.9171   0.68661  -0.81747  -0.08658
 22  2.1376   3.8166  0.76169  0.47606   0.5601  -0.27221  -0.74222  -0.57970
 23  2.1667   2.1803  1.98751  0.88334   0.9938   0.68688  -0.12405  -0.00626
 24  2.2135   2.0339   .       1.22434   1.0883    .        0.20240   0.08462
 25  1.1039   2.4035   .       0.63150   0.4593    .       -0.45965  -0.77810
 26 20.9799  15.4985  2.00343  1.33562   1.3537   0.69486   0.28940   0.30282
 27  0.0000   2.3575   .        .         .        .         .         .     
 28  1.7788   0.9083   .       1.95831   1.9583    .        0.67208   0.67208
 29  0.0000   0.2077   .        .         .        .         .         .     
 30  0.0000   0.0000   .        .         .        .         .         .     
 31  2.5624   4.9536   .       0.56902   0.5173    .       -0.56385  -0.65916
 32  0.0000   0.2055   .        .         .        .         .         .     
 33  2.3820   1.4756  1.88324  1.41243   1.6142   0.63299   0.34531   0.47884
 34  0.4253   0.0000   .        .         .        .         .         .     
 35  0.0000   0.0000   .        .         .        .         .         .     
 36  2.0124   0.0000   .        .         .        .         .         .     
 37  3.1920   3.1548  1.59260  0.69495   1.0118   0.46537  -0.36391   0.01170
 38 10.9168   7.4941  1.42816  1.61858   1.4567   0.35639   0.48155   0.37619
 39  0.0000   0.0000   .        .         .        .         .         .     
 40  0.0000   0.0000   .        .         .        .         .         .     
 41  0.0000   0.0000   .        .         .        .         .         .     
 42  0.0000   0.2036   .        .         .        .         .         .     
 43  0.0000   0.0000   .        .         .        .         .         .     
 44  0.0000   0.1987   .        .         .        .         .         .     
 45  0.3856   0.0000   .        .         .        .         .         .     
 46  0.0000   0.3994   .        .         .        .         .         .     
 47  0.0000   0.2025   .        .         .        .         .         .     
 48  0.0000   0.8345   .        .         .        .         .         .     
 49  0.0000   1.0109   .        .         .        .         .         .     
 50  1.2164   1.2528  0.97090  0.97090   0.9709  -0.02953  -0.02953  -0.02953
 51  0.8156   0.6226   .       3.92955   1.3099    .        1.36853   0.26991
 52  2.1158   1.8670   .       1.13328   1.1333    .        0.12512   0.12512
 53  1.1941   1.2566   .       0.95025   0.9502    .       -0.05103  -0.05103
 54  1.6554   0.6196   .       2.67196   2.6720    .        0.98281   0.98281
 55  1.6024   0.0000   .        .         .        .         .         .     
 56  1.6522   0.6466   .       3.83286   2.5552    .        1.34361   0.93815
 57  0.0000   0.8868   .        .         .        .         .         .     
 58  0.4195   0.8638   .        .        0.4856    .         .       -0.72242
