OBS YEAR VESSEL PAIR HAUL15 HAUL30 EFFORT15 EFFORT30 CATCH15F CATCH30F

  1 1998   88     1    401     12   1.83865  4.14653     0.00     0.00
  2 1998   88     2    402    403   2.01800  3.91055     0.00     0.00
  3 1998   88     3    404     13   2.23150  4.26532     0.00     0.00
  4 1998   88     4    405    406   2.00325  4.48267     0.00     0.00
  5 1998   88     5    407     14   2.14975  4.30680     0.00     0.00
  6 1998   88     6    408    409   2.22777  4.39073     0.00     0.00
  7 1998   88     7    410     15   2.02070  4.29286     0.00     0.00
  8 1998   88     8    411    412   2.35300  4.16208     0.00     0.00
  9 1998   88     9    413     16   2.28964  4.26342     0.00     0.00
 10 1998   88    10    414    415   1.99846  4.16914     0.00     0.00
 11 1998   88    11    416    417   3.13495  4.45893     0.00     0.00
 12 1998   88    12    418     21   2.19488  4.36036     0.00     0.00
 13 1998   88    13    419    420   2.21645  4.51603     0.00     0.00
 14 1998   88    14    421     22   2.17080  4.20065     0.00     0.00
 15 1998   88    15    422    423   2.17318  4.27790     0.00     0.00
 16 1998   88    16    424     23   2.33030  4.45788     0.00     0.00
 17 1998   88    17    425    426   1.96123  4.37162     0.00     0.00
 18 1998   88    18    427     24   2.31637  4.41117     0.00     0.00
 19 1998   88    19    428    429   2.20674  4.44605     0.00     0.00
 20 1998   88    20    430     25   2.29004  4.37085     0.00     0.00
 21 1998   88    21    431     31   2.35276  4.67485     0.00     1.00
 22 1998   88    22    432    434   2.33910  4.45419     0.00     0.00
 23 1998   88    23    435     32   2.30770  4.58659     0.00     0.00
 24 1998   88    24    436    437   2.25890  4.42505     0.00     0.00
 25 1998   88    25    439     33   2.71767  4.57660     0.00     0.00
 26 1998   88    26    440    441   2.38324  4.77465     0.00     0.00
 27 1998   88    27    442     34   2.19266  4.66598     0.00     0.00
 28 1998   88    28    443    444   2.24871  4.40368     0.00     0.00
 29 1998   88    29    445     35   2.41215  4.81382     0.00     0.00
 30 1998   88    30    446    447   2.42352  5.04729     0.00     0.00
 31 1998   88    31    501     64   2.34152  4.44121     3.00    21.00
 32 1998   88    32    502     79   2.53316  4.86552     0.00     1.00
 33 1998   88    33    503     93   2.51894  4.74376     0.00     1.00
 34 1998   88    34    504    104   2.35127  4.46486     1.00     3.00
 35 1998   88    35    505    114   2.41832  4.94509     0.00     0.00
 36 1998   88    36    506    119   2.48457  4.82612     2.00     3.00
 37 1998   88    37    507    128   2.81957  5.38853     1.00     2.00
 38 1998   88    38    508    133   2.74806  5.33756   214.50    84.32
 39 1998   88    39    509    141   2.58470  5.75808    80.00    38.00
 40 1998   88    40    510    145   2.68168  5.69854   560.25  1157.90
 41 1998   88    41    511    150   2.78908  5.08583     6.00    18.00
 42 1998   89     1    401    402   2.46500  4.91142     0.00     0.00
 43 1998   89     2    403      5   2.51366  4.83842     0.00     0.00
 44 1998   89     3    404    405   2.58401  5.03263     0.00     0.00
 45 1998   89     4    406      6   2.59326  5.19260     0.00     0.00
 46 1998   89     5    407    408   2.55617  5.00746     0.00     0.00
 47 1998   89     6    409      7   2.50272  4.93724     0.00     0.00
 48 1998   89     7    411    410   2.45627  4.79305     0.00     0.00
 49 1998   89     8    412      8   2.55879  4.94614     0.00     0.00
 50 1998   89     9    413      9   2.46638  4.78922     0.00     0.00
 51 1998   89    10    415    414   2.45227  4.81815     0.00     0.00
 52 1998   89    11    416     10   2.36316  4.82062     0.00     0.00
 53 1998   89    12    418    417   2.51235  4.77470     0.00     0.00
 54 1998   89    13    419     11   2.41626  4.84212     0.00     0.00
 55 1998   89    14    421    420   2.49622  4.81867     0.00     0.00
 56 1998   89    15    422     12   2.42107  4.63980     0.00     0.00
 57 1998   89    16    424    423   2.28804  4.51059     0.00     0.00
 58 1998   89    17    425     13   2.38400  4.63044     0.00     0.00
 59 1998   89    18    427    426   2.45382  4.75157     0.00     0.00
 60 1998   89    19    429    428   2.61538  4.84854     0.00     0.00
 61 1998   89    20    430     19   2.56122  4.90156     0.00     0.00
 62 1998   89    21    432    431   2.46354  4.90253     0.00     0.00
 63 1998   89    22    433     20   2.33190  5.03494     0.00     0.00
 64 1998   89    23    435    434   2.26500  4.59459     0.00     0.00
 65 1998   89    24    436     21   2.42077  4.80256     0.00     0.00
 66 1998   89    25    438    437   2.48034  4.75988     0.00     0.00
 67 1998   89    26    439     22   2.41337  4.88104     0.00     0.00
 68 1998   89    27    441    440   2.60025  4.97835     0.00     0.00
 69 1998   89    28    442     23   2.77594  5.17132     0.00     0.00
 70 1998   89    29    444    443   2.61678  5.20131     0.00     0.00
 71 1998   89    30    445     24   2.72305  5.25849     0.00     0.00
 72 1998   89    31    501     59   2.64538  5.29997     0.00     3.00
 73 1998   89    32    502     74   2.47597  4.94673     1.00     0.00
 74 1998   89    33    503     79   2.92414  5.34075     0.00     0.00
 75 1998   89    34    504    107   2.50435  5.08950     2.00     3.00
 76 1998   89    35    505    146   2.65219  5.11057     0.00    24.00
 77 1998   89    36    506    155   3.02653  5.57090  2266.66 11008.11
 78 1998   89    37    507    165   2.91633  5.58160    11.00    18.00
 79 1998   89    38    601    600   2.42925  4.92130     0.00     0.00
 80 1998   89    39    603    602   2.44802  4.77529     0.00     0.00
 81 1998   89    40    605    604   2.64525  4.97198     0.00     0.00
 82 1998   89    41    607    606   2.61029  5.19564     2.00     0.00
 83 1998   89    42    609    608   2.73991  5.36526     1.00     1.00
 84 1998   89    43    611    610   2.94137  5.39382     1.00     1.00
 85 1998   89    44    613    612   2.42570  4.44177     0.00     0.00
 86 1998   89    45    615    614   2.49170  5.11457     1.00     0.00
 87 1998   89    46    617    616   2.63538  5.02572     0.00     0.00
 88 1998   89    47    619    618   2.81261  5.31067    28.00     3.00
 89 1998   89    48    621    620   2.87320  5.37297     1.00     4.00
 90 1998   89    49    623    622   2.87354  5.78545     2.00     1.00
 91 1998   89    50    625    624   2.79641  5.18146     2.00     5.00
 92 1998   89    51    627    626   2.72874  5.21881     1.00     2.00
 93 1998   89    52    628    629   2.83591  5.29379     2.00     0.00
 94 1998   89    53    631    630   2.71909  5.32633     1.00     0.00
