OBS CATCH15M CATCH30M CATCH15T CATCH30T CPUE15F CPUE30F CPUE15M CPUE30M

  1    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  2    1.000     0.00     1.00     0.00   0.000    0.00   0.496   0.000
  3    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  4    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  5    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  6    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  7    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
  8    1.000     1.00     1.00     1.00   0.000    0.00   0.425   0.240
  9    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 10    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.240
 11    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 12    4.000     1.00     4.00     1.00   0.000    0.00   1.822   0.229
 13    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.221
 14    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.238
 15    2.000     2.00     2.00     2.00   0.000    0.00   0.920   0.468
 16    2.000    12.00     2.00    12.00   0.000    0.00   0.858   2.692
 17   15.000    13.00    15.00    13.00   0.000    0.00   7.648   2.974
 18    8.000    14.00     8.00    14.00   0.000    0.00   3.454   3.174
 19    2.000    12.00     2.00    12.00   0.000    0.00   0.906   2.699
 20    4.000     7.00     4.00     7.00   0.000    0.00   1.747   1.602
 21   28.000    54.00    28.00    55.00   0.000    0.21  11.901  11.551
 22    7.000    13.00     7.00    13.00   0.000    0.00   2.993   2.919
 23    9.000    23.00     9.00    23.00   0.000    0.00   3.900   5.015
 24    5.000    10.00     5.00    10.00   0.000    0.00   2.213   2.260
 25    2.000     4.00     2.00     4.00   0.000    0.00   0.736   0.874
 26   19.000    22.00    19.00    22.00   0.000    0.00   7.972   4.608
 27    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.214
 28    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 29    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.208
 30    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 31   53.000    99.00    56.00   120.00   1.281    4.73  22.635  22.291
 32  119.000   274.00   119.00   275.00   0.000    0.21  46.977  56.315
 33   77.000    61.00    77.00    62.00   0.000    0.21  30.568  12.859
 34   67.000   147.00    68.00   150.00   0.425    0.67  28.495  32.924
 35  206.245   328.90   206.25   328.90   0.000    0.00  85.284  66.510
 36  150.000   232.20   152.00   235.20   0.805    0.62  60.373  48.113
 37   32.000    75.00    33.00    77.00   0.355    0.37  11.349  13.918
 38   56.000   160.00   270.50   244.32  78.056   15.80  20.378  29.976
 39  293.839   355.40   373.84   393.40  30.951    6.60 113.684  61.723
 40  458.503  1293.45  1018.75  2451.34 208.916  203.19 170.976 226.979
 41  154.000   253.00   160.00   271.00   2.151    3.54  55.215  49.746
 42    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.204
 43    1.000     1.00     1.00     1.00   0.000    0.00   0.398   0.207
 44    1.000     1.00     1.00     1.00   0.000    0.00   0.387   0.199
 45    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 46    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 47    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 48    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 49    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 50    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.209
 51    0.000     9.00     0.00     9.00   0.000    0.00   0.000   1.868
 52   22.000    33.00    22.00    33.00   0.000    0.00   9.310   6.846
 53    9.000    23.00     9.00    23.00   0.000    0.00   3.582   4.817
 54    6.000    14.00     6.00    14.00   0.000    0.00   2.483   2.891
 55    1.000     6.00     1.00     6.00   0.000    0.00   0.401   1.245
 56    2.000     7.00     2.00     7.00   0.000    0.00   0.826   1.509
 57    1.000     1.00     1.00     1.00   0.000    0.00   0.437   0.222
 58    4.000     1.00     4.00     1.00   0.000    0.00   1.678   0.216
 59    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.210
 60    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 61    1.000     1.00     1.00     1.00   0.000    0.00   0.390   0.204
 62    1.000     0.00     1.00     0.00   0.000    0.00   0.406   0.000
 63    0.000     1.00     0.00     1.00   0.000    0.00   0.000   0.199
 64    3.000     1.00     3.00     1.00   0.000    0.00   1.325   0.218
 65    3.000     9.00     3.00     9.00   0.000    0.00   1.239   1.874
 66    5.000    33.00     5.00    33.00   0.000    0.00   2.016   6.933
 67   15.000    26.00    15.00    26.00   0.000    0.00   6.215   5.327
 68   18.000    54.00    18.00    54.00   0.000    0.00   6.922  10.847
 69   40.000    24.00    40.00    24.00   0.000    0.00  14.410   4.641
 70   19.000    46.00    19.00    46.00   0.000    0.00   7.261   8.844
 71   19.000    20.00    19.00    20.00   0.000    0.00   6.977   3.803
 72   53.000    63.00    53.00    66.00   0.000    0.57  20.035  11.887
 73   63.000    63.00    64.00    63.00   0.404    0.00  25.445  12.736
 74   29.000    59.00    29.00    59.00   0.000    0.00   9.917  11.047
 75  207.992   374.29   209.99   377.29   0.799    0.59  83.052  73.541
 76   44.000    52.00    44.00    76.00   0.000    4.70  16.590  10.175
 77  195.975   246.51  2462.64 11254.62 748.932 1976.00  64.752  44.249
 78  238.467   121.00   249.47   139.00   3.772    3.22  81.769  21.678
 79    1.000     0.00     1.00     0.00   0.000    0.00   0.412   0.000
 80    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 81    0.000     0.00     0.00     0.00   0.000    0.00   0.000   0.000
 82   17.000    23.00    19.00    23.00   0.766    0.00   6.513   4.427
 83   66.000    50.00    67.00    51.00   0.365    0.19  24.088   9.319
 84  118.000   176.00   119.00   177.00   0.340    0.19  40.117  32.630
 85    1.000     0.00     1.00     0.00   0.000    0.00   0.412   0.000
 86   28.000    41.00    29.00    41.00   0.401    0.00  11.237   8.016
 87   70.000    26.00    70.00    26.00   0.000    0.00  26.562   5.173
 88   87.000    29.00   115.00    32.00   9.955    0.56  30.932   5.461
 89   53.000    83.00    54.00    87.00   0.348    0.74  18.446  15.448
 90   41.000    74.00    43.00    75.00   0.696    0.17  14.268  12.791
 91   19.000    45.00    21.00    50.00   0.715    0.96   6.794   8.685
 92    7.000    14.00     8.00    16.00   0.366    0.38   2.565   2.683
 93   19.000    44.00    21.00    44.00   0.705    0.00   6.700   8.312
 94   32.000    46.00    33.00    46.00   0.368    0.00  11.769   8.636
