OBS CPUE15T  CPUE30T   RATIOF   RATIOM   RATIOT   LNRATF    LNRATM    LNRATT

  1   0.000     0.00    .       .        .         .         .         .     
  2   0.496     0.00    .       .        .         .         .         .     
  3   0.000     0.00    .       .        .         .         .         .     
  4   0.000     0.00    .       .        .         .         .         .     
  5   0.000     0.00    .       .        .         .         .         .     
  6   0.000     0.00    .       .        .         .         .         .     
  7   0.000     0.00    .       .        .         .         .         .     
  8   0.425     0.24    .      1.76884  1.76884    .        0.57032   0.57032
  9   0.000     0.00    .       .        .         .         .         .     
 10   0.000     0.24    .       .        .         .         .         .     
 11   0.000     0.00    .       .        .         .         .         .     
 12   1.822     0.23    .      7.94642  7.94642    .        2.07272   2.07272
 13   0.000     0.22    .       .        .         .         .         .     
 14   0.000     0.24    .       .        .         .         .         .     
 15   0.920     0.47    .      1.96850  1.96850    .        0.67727   0.67727
 16   0.858     2.69    .      0.31883  0.31883    .       -1.14308  -1.14308
 17   7.648     2.97    .      2.57194  2.57194    .        0.94466   0.94466
 18   3.454     3.17    .      1.08820  1.08820    .        0.08452   0.08452
 19   0.906     2.70    .      0.33579  0.33579    .       -1.09126  -1.09126
 20   1.747     1.60    .      1.09065  1.09065    .        0.08677   0.08677
 21  11.901    11.77    .      1.03028  1.01154    .        0.02983   0.01148
 22   2.993     2.92    .      1.02535  1.02535    .        0.02504   0.02504
 23   3.900     5.01    .      0.77772  0.77772    .       -0.25138  -0.25138
 24   2.213     2.26    .      0.97947  0.97947    .       -0.02074  -0.02074
 25   0.736     0.87    .      0.84201  0.84201    .       -0.17197  -0.17197
 26   7.972     4.61    .      1.73024  1.73024    .        0.54826   0.54826
 27   0.000     0.21    .       .        .         .         .         .     
 28   0.000     0.00    .       .        .         .         .         .     
 29   0.000     0.21    .       .        .         .         .         .     
 30   0.000     0.00    .       .        .         .         .         .     
 31  23.916    27.02   0.2710  1.01541  0.88514  -1.30579   0.01530  -0.12202
 32  46.977    56.52    .      0.83419  0.83115    .       -0.18130  -0.18494
 33  30.568    13.07    .      2.37720  2.33886    .        0.86592   0.84966
 34  28.921    33.60   0.6330  0.86549  0.86084  -0.45733  -0.14446  -0.14984
 35  85.284    66.51    .      1.28228  1.28228    .        0.24864   0.24864
 36  61.178    48.74   1.2950  1.25480  1.25531   0.25848   0.22698   0.22738
 37  11.704    14.29   0.9556  0.81541  0.81905  -0.04546  -0.20406  -0.19961
 38  98.434    45.77   4.9409  0.67980  2.15042   1.59754  -0.38595   0.76566
 39 144.635    68.32   4.6900  1.84185  2.11696   1.54544   0.61077   0.74998
 40 379.892   430.17   1.0282  0.75327  0.88312   0.02778  -0.28333  -0.12429
 41  57.367    53.29   0.6078  1.10995  1.07660  -0.49786   0.10431   0.07380
 42   0.000     0.20    .       .        .         .         .         .     
 43   0.398     0.21    .      1.92485  1.92485    .        0.65485   0.65485
