OBS CATCH15M CATCH30M CATCH15T CATCH30T CPUE15F CPUE30F CPUE15M CPUE30M

  1      8       18        8     19.000  0.0000  0.2412  4.3510  4.3410
  2     35       25       76     60.000 20.3171  8.9501 17.3439  6.3930
  3      6       20       32     89.000 11.6513 16.1770  2.6888  4.6890
  4     14       20       43     76.000 14.4764 12.4925  6.9886  4.4616
  5      1       24       21    111.000  9.3034 20.2006  0.4652  5.5726
  6      3        5       65    109.000 27.8305 23.6863  1.3466  1.1388
  7      3        9       17     38.000  6.9283  6.7554  1.4846  2.0965
  8     13       26       38    103.000 10.6247 18.5004  5.5249  6.2469
  9     23       38       53     94.000 13.1025 13.1350 10.0452  8.9130
 10     15       41       33     59.000  9.0069  4.3174  7.5058  9.8342
 11      2        5        3      8.000  0.3190  0.6728  0.6380  1.1213
 12      3        5        4     10.000  0.4556  1.1467  1.3668  1.1467
 13      4        8       10     14.000  2.7070  1.3286  1.8047  1.7715
 14     14       15       19     41.000  2.3033  6.1895  6.4493  3.5709
 15     23       40       30     53.000  3.2211  3.0389 10.5836  9.3504
 16     20       30       30     49.000  4.2913  4.2621  8.5826  6.7297
 17     13       31       26     42.000  6.6285  2.5162  6.6285  7.0912
 18     10       24       20     44.000  4.3171  4.5339  4.3171  5.4407
 19     12       18       26     31.000  6.3442  2.9239  5.4379  4.0485
 20     11       20       29     60.000  7.8601  9.1515  4.8034  4.5758
 21      9       26        9     36.000  0.0000  2.1391  3.8253  5.5617
 22     27       44       28     45.000  0.4275  0.2245 11.5429  9.8783
 23     14       44       14     44.000  0.0000  0.0000  6.0666  9.5932
 24      8       17        8     18.000  0.0000  0.2260  3.5415  3.8418
 25      2        3        2      4.000  0.0000  0.2185  0.7359  0.6555
 26     46       70       47     70.000  0.4196  0.0000 19.3015 14.6608
 27      7        5        7      5.000  0.0000  0.0000  3.1925  1.0716
 28      0        0        0      1.000  0.0000  0.2271  0.0000  0.0000
 29      1        1        1      1.000  0.0000  0.0000  0.4146  0.2077
 30      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 31      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 32      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 33      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 34      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 35      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 36      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 37      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 38      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 39      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 40      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 41      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 42    153      202      325    406.000 69.7770 41.5359 62.0691 41.1287
 43      5       12        7     28.000  0.7957  3.3069  1.9891  2.4801
 44      2       17        6     34.000  1.5480  3.3780  0.7740  3.3780
 45      0        8       14     27.000  5.3986  3.6591  0.0000  1.5407
 46      3       14       23     82.000  7.8242 13.5797  1.1736  2.7958
 47     15       48       75    286.193 23.9739 48.2441  5.9935  9.7220
 48     16       28       70    127.000 21.9845 20.6549  6.5139  5.8418
 49     14       32       23     38.000  3.5173  1.2131  5.4713  6.4697
 50      5       23       43     85.000 15.4072 12.9457  2.0273  4.8024
 51     16       38       89    206.000 29.7684 34.8681  6.5246  7.8868
 52     17       24       39     54.000  9.3096  6.2233  7.1938  4.9786
 53     15       28       28     55.000  5.1744  5.6548  5.9705  5.8642
 54      8       21       25     43.000  7.0357  4.5435  3.3109  4.3369
 55     20       42      143    254.000 49.2744 43.9956  8.0121  8.7161
 56     17       61      128    231.000 45.8476 36.6395  7.0217 13.1471
 57     30       82      108    229.000 34.0903 32.5900 13.1116 18.1794
 58     32       54       61    103.000 12.1644 10.5822 13.4228 11.6620
 59     14       25       29     38.000  6.1129  2.7359  5.7054  5.2614
 60      1        5        1      5.000  0.0000  0.0000  0.3824  1.0312
 61      1        3        3      4.000  0.7809  0.2040  0.3904  0.6121
 62      0        8        4      8.000  1.6237  0.0000  0.0000  1.6318
 63     47       69       52     78.000  2.1442  1.7875 20.1552 13.7042
 64     10       11       14     13.000  1.7660  0.4353  4.4150  2.3941
 65      7       17       11     26.000  1.6524  1.8740  2.8916  3.5398
 66     23       74       36    113.000  5.2412  8.1935  9.2729 15.5466
 67     26       54       28     71.000  0.8287  3.4829 10.7733 11.0632
 68     71      130       77    144.000  2.3075  2.8122 27.3051 26.1131
 69     58       71       79    109.000  7.5650  7.3482 20.8938 13.7296
 70     11       34       35     95.000  9.1716 11.7278  4.2036  6.5368
 71      9       18       51     90.000 15.4239 13.6921  3.3051  3.4230
 72      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 73      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 74      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 75      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 76      0        1        0      1.000  0.0000  0.0000  0.0000  0.1957
 77      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 78      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 79     28        8       51     73.000  9.4679 13.2079 11.5262  1.6256
 80     15       63       39    138.000  9.8038 15.7059  6.1274 13.1929
 81     67       40      106     69.000 14.7434  5.8327 25.3284  8.0451
 82      3        8        4      8.000  0.3831  0.0000  1.1493  1.5398
 83      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 84      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 85     24       60      134    275.000 45.3478 48.4041  9.8941 13.5081
 86      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 87      1        0        1      0.000  0.0000  0.0000  0.3795  0.0000
 88      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 89      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 90      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 91      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 92      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 93      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
 94      0        0        0      0.000  0.0000  0.0000  0.0000  0.0000
