"HAULJOIN","CRUISE","VESSEL","HAUL","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","SAMPLING_FACTOR","CHELA_HEIGHT","STATIONID"
821844,199501,88,222,68580,1,NA,68,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,102,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,100,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,98,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,98,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,98,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,85,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,88,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,92,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,86,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,96,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,108,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,86,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,87,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,87,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,84,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,87,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,92,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,85,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,95,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,97,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,97,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,97,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,79,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,91,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,115,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,75,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,94,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,92,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,83,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,94,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,93,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,83,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,97,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,80,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,93,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,82,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,73,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,98,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,95,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,98,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,96,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,84,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,78,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,86,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,90,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,80,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,87,2,2.2361,NA,"F-04"
821844,199501,88,222,68580,1,NA,107,2,2.2361,NA,"F-04"
821843,199501,88,221,68560,1,NA,116,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,108,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,126,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,120,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,132,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,95,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,124,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,132,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,110,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,88,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,126,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,109,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,112,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,107,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,120,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,106,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,112,4,1,NA,"F-04"
821843,199501,88,221,68560,1,NA,133,4,1,NA,"F-04"
821848,199501,88,227,68560,1,NA,104,3,1,NA,"F-05"
821848,199501,88,227,68560,1,NA,95,3,1,NA,"F-05"
821848,199501,88,227,68560,1,NA,107,3,1,NA,"F-05"
821848,199501,88,227,68560,1,NA,126,1,1,NA,"F-05"
821848,199501,88,227,68560,1,NA,29,2,1,NA,"F-05"
821848,199501,88,227,68560,1,NA,98,4,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,80,4,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,84,4,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,81,4,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,90,4,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,81,5,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,37,2,1,NA,"F-05"
821848,199501,88,227,68560,2,NA,54,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,96,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,100,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,114,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,92,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,94,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,103,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,71,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,116,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,91,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,79,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,107,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,108,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,83,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,104,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,95,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,91,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,92,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,91,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,103,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,98,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,94,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,103,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,80,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,93,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,108,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,104,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,95,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,92,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,85,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,105,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,105,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,96,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,91,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,99,2,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,107,1,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,101,1,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,112,1,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,101,1,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,105,1,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,57,3,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,65,3,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,76,3,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,55,4,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,57,4,1,NA,"F-05"
821850,199501,88,228,68580,1,NA,62,4,1,NA,"F-05"
821850,199501,88,228,68580,2,NA,72,2,1,NA,"F-05"
821850,199501,88,228,68580,2,NA,75,2,1,NA,"F-05"
821837,199501,88,213,68580,1,NA,77,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,114,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,84,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,82,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,90,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,83,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,81,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,85,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,92,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,94,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,80,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,94,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,92,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,80,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,101,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,81,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,88,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,99,2,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,101,2,2.4623,NA,"G-02"
821836,199501,88,212,68560,1,NA,125,5,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,110,5,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,115,5,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,108,5,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,81,3,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,50,2,1,NA,"G-02"
821836,199501,88,212,68560,1,NA,46,2,1,NA,"G-02"
821836,199501,88,212,68560,2,NA,92,5,1,NA,"G-02"
821836,199501,88,212,68560,2,NA,84,5,1,NA,"G-02"
821836,199501,88,212,68560,2,NA,82,5,1,NA,"G-02"
821836,199501,88,212,68560,2,NA,75,5,1,NA,"G-02"
821837,199501,88,213,68580,1,NA,71,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,69,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,64,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,59,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,96,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,65,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,57,4,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,86,5,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,73,5,2.4623,NA,"G-02"
821837,199501,88,213,68580,1,NA,79,2,2.4623,NA,"G-02"
