SPECIES_CODE,SEX,WIDTH,LENGTH,SHELL_CONDITION,SAMPLING_FACTOR,VESSEL,HAUL,CRUISE
68580,1,84,,4,1,89,5,199801
69322,2,,136,2,1,89,5,199801
69322,2,,61,2,1,89,5,199801
69322,1,,118,2,1,89,5,199801
69322,1,,139,4,1,89,5,199801
69322,2,,74,2,1,89,5,199801
69322,2,,65,2,1,89,5,199801
69322,1,,101,2,1,89,5,199801
69322,1,,144,4,1,89,5,199801
69322,1,,140,3,1,89,5,199801
69322,1,,150,3,1,89,5,199801
69322,1,,151,3,1,89,5,199801
69322,2,,80,2,1,89,5,199801
69322,2,,122,3,1,89,5,199801
69322,1,,132,2,1,89,5,199801
69322,2,,102,2,1,89,5,199801
69322,1,,63,2,1,89,5,199801
69322,1,,125,2,1,89,5,199801
69322,2,,73,2,1,89,5,199801
69322,2,,70,2,1,89,5,199801
69322,2,,67,2,1,89,5,199801
69322,2,,69,2,1,89,5,199801
69322,1,,118,2,1,89,5,199801
69322,1,,68,2,1,89,5,199801
69322,2,,108,2,1,89,5,199801
69322,2,,131,2,1,89,5,199801
69322,2,,66,2,1,89,5,199801
69322,2,,72,2,1,89,5,199801
69322,2,,58,2,1,89,5,199801
69322,2,,104,2,1,89,6,199801
69322,2,,106,2,1,89,6,199801
69322,1,,125,2,1,89,6,199801
69322,2,,109,2,1,89,6,199801
69322,2,,104,2,1,89,6,199801
69322,2,,109,2,1,89,6,199801
69322,2,,103,2,1,89,6,199801
69322,2,,108,2,1,89,6,199801
69322,2,,104,2,1,89,6,199801
69322,2,,108,2,1,89,6,199801
69322,1,,126,2,1,89,6,199801
69322,2,,112,2,1,89,6,199801
69322,2,,104,2,1,89,6,199801
69322,2,,142,2,1,89,6,199801
69322,2,,113,2,1,89,6,199801
69322,2,,109,2,1,89,6,199801
69322,1,,122,3,1,89,6,199801
69322,1,,109,2,1,89,6,199801
69322,1,,135,4,1,89,6,199801
69322,1,,158,4,1,89,6,199801
69322,2,,105,2,1,89,6,199801
69322,2,,107,2,1,89,6,199801
69322,2,,139,2,1,89,6,199801
69322,2,,109,2,1,89,6,199801
69322,2,,106,2,1,89,6,199801
69322,1,,143,4,1,89,6,199801
69322,1,,129,3,1,89,6,199801
68560,1,119,,5,1,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,120,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,2,,103,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,109,2,2.2471,89,7,199801
69322,2,,102,2,2.2471,89,7,199801
69322,2,,82,2,2.2471,89,7,199801
69322,2,,101,2,2.2471,89,7,199801
69322,2,,106,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,117,2,2.2471,89,7,199801
69322,2,,110,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,107,2,2.2471,89,7,199801
69322,2,,101,2,2.2471,89,7,199801
69322,2,,108,2,2.2471,89,7,199801
69322,2,,104,2,2.2471,89,7,199801
69322,2,,100,2,2.2471,89,7,199801
69322,2,,135,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
69322,2,,105,2,2.2471,89,7,199801
