"STATIONID","CRUISE","MATCHUP","HAULJOIN","NET_MEASURED","WIRE_LENGTH","START_TIME","PERFORMANCE","VESSEL","HAUL","REGION","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_HEIGHT","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","GEAR_DEPTH","BOTTOM_DEPTH","GEAR","ACCESSORIES","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","HAUL_TYPE","AREA_SWEPT_KM2","TREATMENT"
"B-02",202101,1,-20995,"Y",411,2021-08-20 13:53:25,0,94,230,"BS",0.524,2.86,18.676,2.21,55.33004,55.33039,-166.97715,-166.93216,137,139,44,15,11.4,4.4,20,0.05341336,"30"
"B-02",202101,1,-20991,"Y",411,2021-08-20 13:55:30,0,162,210,"BS",0.271,1.493,18.05,1.76,55.3397,55.34119,-166.97488,-166.95154,137,139,44,15,11.4,4.3,20,0.02694865,"15"
"B-03",202101,2,-20996,"N",411,2021-08-20 16:48:12,0,94,231,"BS",0.279,1.493,18.748,2.153,55.3304,55.33157,-166.36215,-166.33876,131,133,44,15,9.9,4.8,20,0.027990764,"15"
"B-03",202101,2,-20992,"Y",411,2021-08-20 16:49:16,0,162,211,"BS",0.54,2.965,18.11,2.071,55.33815,55.33944,-166.36342,-166.31684,131,133,44,15,10.2,4.8,20,0.05369615,"30"
"B-06",202101,3,-21003,"Y",320,2021-08-22 09:12:52,0,162,218,"BS",0.265,1.449,17.003,2.209,55.36314,55.35083,-164.52979,-164.53731,99,101,44,15,9.7,5.6,20,0.024637347,"15"
"B-06",202101,3,-21004,"Y",320,2021-08-22 10:48:09,0,162,219,"BS",0.522,2.887,16.889,2.128,55.36697,55.34263,-164.53712,-164.55302,99,101,44,15,10.3,5.6,20,0.048758543,"30"
"B-07",202101,4,-21001,"Y",320,2021-08-21 16:57:12,0,162,216,"BS",0.533,2.873,15.89,2.253,55.38048,55.35519,-163.97888,-163.98824,80,82,44,15,10,7,20,0.04565197,"30"
"B-07",202101,4,-21002,"Y",274,2021-08-21 18:52:58,0,162,217,"BS",0.262,1.415,15.529,2.373,55.37366,55.36108,-163.97328,-163.97668,78,80,44,15,10.7,7.2,20,0.021973535,"15"
"C-06",202101,5,-20997,"Y",320,2021-08-21 08:14:42,0,162,212,"BS",0.276,1.467,17.283,2.28,55.66405,55.66491,-164.61636,-164.59315,95,97,44,15,10.9,5,20,0.025354161,"15"
"C-06",202101,5,-20998,"Y",320,2021-08-21 09:53:20,0,162,213,"BS",0.521,2.801,17.157,2.191,55.65911,55.65973,-164.6266,-164.5822,94,96,44,15,11,5.2,20,0.048056757,"30"
"C-07",202101,6,-20999,"Y",320,2021-08-21 12:43:49,0,162,214,"BS",0.525,2.815,16.549,2.19,55.71133,55.68952,-164.04093,-164.01819,91,93,44,15,10.9,6.1,20,0.046585435,"30"
"C-07",202101,6,-21000,"Y",320,2021-08-21 14:27:52,0,162,215,"BS",0.268,1.451,16.592,2.147,55.7122,55.70187,-164.03083,-164.01673,91,93,44,15,11.2,6.1,20,0.024074992,"15"
"E-05",202101,7,-20838,"Y",274,2021-08-19 17:09:53,0,94,227,"BS",0.516,2.647,17.147,2.326,56.34333,56.34621,-165.16591,-165.20831,84,86,44,15,11.8,3.3,20,0.045388109,"30"
