"SPECIES_CODE","YEAR","n"
471,2021,136
10110,1995,459
10110,2021,1570
10110,2023,30
10130,1995,5243
10130,2021,2560
10130,2022,431
10130,2023,383
10210,1995,19140
10210,2021,2238
10210,2022,1745
10210,2023,493
10261,2021,1733
10261,2022,1875
10261,2023,767
10285,1995,6593
10285,2021,186
10285,2022,833
10285,2023,371
21720,1995,5875
21720,2021,1515
21720,2022,1105
21720,2023,728
21740,1995,8203
21740,2021,8888
21740,2022,2379
21740,2023,1029
68560,1995,430
68560,1998,251
68560,2021,2256
68560,2022,408
68560,2023,83
68580,1995,2302.2803
68580,1998,206
69322,2022,233
69322,2023,244
